ProductCode,Sk__c,Name,Model__c,Name_EN__c,Sales_price__c,Sales_currency__c,Purchase_price__c,Purchase_currency__c,IsActive,Description,Import_ID__c,Salesforce_ID
F1.2,100,Zelezny stojan pro BATMTwo a pro akceptor,,stojan GB - zelezny stojan pro maly automat apro akceptor (BC-06 stojan),,,0.0,,True,Zelezny stojan pro BATMTwo a pro akceptor,PROD-627,01tJ9000001BhT3IAK
F1,100,Zelezny stojan pro BATMTwoC,,stojan GB - zelezny stojan pro maly automat,,,0.0,,True,Zelezny stojan pro BATMTwoC,PROD-628,01tJ9000001Bh0xIAC
F1.1,100,Zelezny stojan pro BATMTwoC - s tiskarnou,,stojan GB - zelezny stojan pro maly automat - s tiskarnou,,,0.0,,True,Zelezny stojan pro BATMTwoC - s tiskarnou,PROD-629,01tJ9000001BhT8IAK
F1.3,100,Zelezny stojan pro BNR akceptor,,stojan GB - zelezny stojan pro maly automat apro akceptor (BC-06 stojan),,,,,True,Zelezny stojan pro BNR akceptor,PROD-630,01tJ9000001BgehIAC
H5,100,Zelezny stojan pro foto-tiskarnu,,stojan GB - Fotostojan,,,0.0,,True,Zelezny stojan pro foto-tiskarnu,PROD-631,01tJ9000001Bh4uIAC
Z10,600,Custom Training,,Custom Training,169,USD,,,True,GB Services,PROD-632,01tJ9000001BhSQIA0
Z11,600,New Operator Training,,New Operator Training,999,USD,,,True,GB Services,PROD-633,01tJ9000001BgvPIAS
Z12,600,Advanced Operator Training,,Advanced Operator Training,499,USD,,,True,GB Services,PROD-634,01tJ9000001BhKrIAK
Z13,600,Server Installation,,Server Installation,599,USD,,,True,GB Services,PROD-635,01tJ9000001BhB8IAK
Z14,600,Server & Data Migration,,Server & Data Migration,999,USD,,,True,GB Services,PROD-636,01tJ9000001Bh1zIAC
Z15,600,Server Upgrade,,Server Upgrade,449,USD,,,True,GB Services,PROD-637,01tJ9000001BhMtIAK
Z16,600,Maintenance,,Maintenance,99,USD,,,True,GB Services,PROD-638,01tJ9000001BhSaIAK
Z17,600,Repair & Part Replacement,,Repair & Part Replacement,99,USD,,,True,GB Services,PROD-639,01tJ9000001BhLvIAK
Z18,600,Terminal installation,,Terminal installation,199,USD,,,True,GB Services,PROD-640,01tJ9000001BhLDIA0
